tick	action_x	action_y	x	y
441	0	0	192.58578491210938	399.41421508789062
442	0	0	192.58578491210938	399.41421508789062
443	0	0	192.58578491210938	399.41421508789062
444	0	0	192.58578491210938	399.41421508789062
445	0	0	192.58578491210938	399.41421508789062
446	0	0	192.58578491210938	399.41421508789062
447	0	0	192.58578491210938	399.41421508789062
448	0	0	192.58578491210938	399.41421508789062
449	0	0	192.58578491210938	399.41421508789062
450	0	0	192.58578491210938	399.41421508789062
451	0	0	192.58578491210938	399.41421508789062
452	0	0	192.58578491210938	399.41421508789062
453	0	0	192.58578491210938	399.41421508789062
454	0	0	192.58578491210938	399.41421508789062
455	0	0	192.58578491210938	399.41421508789062
456	0	0	192.58578491210938	399.41421508789062
457	0	0	192.58578491210938	399.41421508789062
458	0	0	192.58578491210938	399.41421508789062
459	0	0	192.58578491210938	399.41421508789062
460	0	0	192.58578491210938	399.41421508789062
461	0	0	192.58578491210938	399.41421508789062
462	0	0	192.58578491210938	399.41421508789062
463	0	0	192.58578491210938	399.41421508789062
464	0	0	192.58578491210938	399.41421508789062
465	0	0	192.58578491210938	399.41421508789062
466	0	0	192.58578491210938	399.41421508789062
467	0	0	192.58578491210938	399.41421508789062
468	0	0	192.58578491210938	399.41421508789062
469	0	0	192.58578491210938	399.41421508789062
470	0	0	192.58578491210938	399.41421508789062
471	0	0	192.58578491210938	399.41421508789062
472	0	0	192.58578491210938	399.41421508789062
473	0	0	192.58578491210938	399.41421508789062
474	0	0	192.58578491210938	399.41421508789062
475	0	0	192.58578491210938	399.41421508789062
476	0	0	192.58578491210938	399.41421508789062
477	0	0	192.58578491210938	399.41421508789062
478	0	0	192.58578491210938	399.41421508789062
479	0	0	192.58578491210938	399.41421508789062
480	0	0	192.58578491210938	399.41421508789062
481	0	0	192.58578491210938	399.41421508789062
482	0	0	192.58578491210938	399.41421508789062
483	0	0	192.58578491210938	399.41421508789062
484	0	0	192.58578491210938	399.41421508789062
485	0	0	192.58578491210938	399.41421508789062
486	0	0	192.58578491210938	399.41421508789062
487	0	0	192.58578491210938	399.41421508789062
488	0	0	192.58578491210938	399.41421508789062
489	0	0	192.58578491210938	399.41421508789062
490	0	0	192.58578491210938	399.41421508789062
491	0	0	192.58578491210938	399.41421508789062
492	0	0	192.58578491210938	399.41421508789062
493	0	0	192.58578491210938	399.41421508789062
494	0	0	192.58578491210938	399.41421508789062
495	0	0	192.58578491210938	399.41421508789062
496	0	0	192.58578491210938	399.41421508789062
497	0	0	192.58578491210938	399.41421508789062
498	0	0	192.58578491210938	399.41421508789062
499	0	0	192.58578491210938	399.41421508789062
500	0	0	192.58578491210938	399.41421508789062
501	0	0	192.58578491210938	399.41421508789062
502	0	0	192.58578491210938	399.41421508789062
503	0	0	192.58578491210938	399.41421508789062
504	0	0	192.58578491210938	399.41421508789062
505	0	0	192.58578491210938	399.41421508789062
506	0	0	192.58578491210938	399.41421508789062
507	0	0	192.58578491210938	399.41421508789062
508	0	0	192.58578491210938	399.41421508789062
509	0	0	192.58578491210938	399.41421508789062
510	0	0	192.58578491210938	399.41421508789062
511	0	0	192.58578491210938	399.41421508789062
512	0	0	192.58578491210938	399.41421508789062
513	0	0	192.58578491210938	399.41421508789062
514	0	0	192.58578491210938	399.41421508789062
515	0	0	192.58578491210938	399.41421508789062
516	0	0	192.58578491210938	399.41421508789062
517	0	0	192.58578491210938	399.41421508789062
518	0	0	192.58578491210938	399.41421508789062
519	0	0	192.58578491210938	399.41421508789062
520	0	0	192.58578491210938	399.41421508789062
521	0	0	192.58578491210938	399.41421508789062
522	0	0	192.58578491210938	399.41421508789062
523	0	0	192.58578491210938	399.41421508789062
524	0	0	192.58578491210938	399.41421508789062
525	0	0	192.58578491210938	399.41421508789062
526	0	0	192.58578491210938	399.41421508789062
527	0	1	192.58578491210938	401.41421508789062
528	-1	0	190.58578491210938	401.41421508789062
529	-1	-1	189.17156982421875	400
530	0	0	189.17156982421875	400
